iter	RMSE
0	73748.72507
1	73747.82781
2	73747.10022
3	73744.97414
4	73744.088
5	73742.20137
6	73740.57377
7	73739.03859
8	73737.78062
9	73736.95215
10	73736.1659
11	73735.55734
12	73735.03729
13	73735.03729
14	73734.53744
15	73734.34819
16	73732.25129
17	73731.53928
18	73731.01823
19	73729.66831
20	73729.32931
21	73729.09387
22	73727.97918
23	73727.40319
24	73726.70142
25	73726.57965
26	73726.45248
27	73726.02688
28	73725.62644
29	73725.43132
30	73724.89251
31	73721.23956
32	73720.95891
33	73720.18301
34	73719.66026
35	73718.97428
36	73718.42544
37	73718.18379
38	73717.88797
39	73717.87982
40	73717.44118
41	73715.89028
42	73715.28833
43	73715.01805
44	73714.98369
45	73714.80064
46	73714.37291
47	73714.20249
48	73714.05673
49	73713.97092
50	73713.48623
51	73713.33618
52	73713.26818
53	73712.8101
54	73712.48391
