iter	Passed	Remaining
0	68	206467
1	126	188973
2	175	175705
3	254	190257
4	336	201341
5	415	207465
6	492	210649
7	576	215497
8	656	218112
9	751	224717
10	830	225611
11	910	226771
12	988	227102
13	1005	214548
14	1086	216207
15	1172	218754
16	1250	219452
17	1349	223642
18	1438	225632
19	1517	226083
20	1603	227508
21	1691	228904
22	1777	230034
23	1863	231025
24	1950	232160
25	2027	231955
26	2120	233508
27	2208	234384
28	2259	231526
29	2345	232239
30	2431	232837
31	2515	233282
32	2621	235697
33	2744	239443
34	2858	242126
35	2937	241817
36	3014	241429
37	3092	241025
38	3166	240428
39	3211	237659
40	3293	237660
41	3406	239919
42	3522	242219
43	3646	244964
44	3700	242968
45	3806	244469
46	3891	244524
47	3968	244062
48	4054	244154
49	4132	243813
50	4215	243761
51	4272	242219
52	4350	241912
53	4445	242507
54	4525	242296
